Date,ASIANPAINT.BO,BHARTIARTL.BO,ICICIBANK.BO,INFY.BO,MARUTI.BO,NESTLEIND.BO,RELIANCE.BO,SBIN.BO,TATASTEEL.BO,WIPRO.BO,APOLLOHOSP.BO,BANKBARODA.BO,BERGEPAINT.BO,BRITANNIA.BO,CIPLA.BO,GODREJPROP.BO,HAVELLS.BO,IOC.BO,MUTHOOTFIN.BO,SHREECEM.BO,Open
03-02-2022,3179.961914,718.4066162,804.0261841,1701.882324,8533.925781,18049.88867,2345.635986,531.8060303,1098.055786,572.1643677,4633.805664,106.3979492,734.5067139,3448.451904,947.696167,1669.25,1197.416748,117.7811737,1401.660767,24737.9707,58810.53125
04-02-2022,3213.52002,717.0128174,800.1494751,1704.084717,8490.561523,18067.23438,2324.798828,522.0581055,1107.946899,565.7338867,4674.444336,103.4855957,732.1172485,3446.564453,941.3271484,1506.550049,1201.837158,117.4501877,1398.608032,24605.25391,58447.14844
07-02-2022,3151.269043,703.3734741,781.6604004,1678.537354,8454.697266,17832.59375,2310.691162,525.0120239,1114.30542,551.2406616,4462.375488,109.5529938,716.0880127,3338.305908,929.0368042,1561.699951,1184.055786,116.2208481,1400.774536,24768.49805,56720.32031
08-02-2022,3193.36499,705.7130127,787.9725342,1680.201538,8539.737305,17823.23242,2348.527344,522.9442139,1148.830078,554.0106812,4384.189453,114.4554596,714.9430542,3364.922852,944.0140381,1551,1178.741211,114.6605148,1417.663208,24684.93359,56731.55859
09-02-2022,3205.279297,716.4154663,797.9129028,1700.707886,8892.959961,17867.24219,2376.791992,526.9321289,1151.514771,563.0133057,4558.312012,111.4945602,719.3735352,3403.977051,963.2208252,1547.150024,1215.545898,117.0455933,1433.665527,25407.07813,58310.67969
10-02-2022,3214.314209,720.5968628,800.4476929,1731.393921,8747.071289,17838.95508,2371.856934,532.1506958,1175.865845,567.366272,4583.593262,111.3974838,723.6048584,3420.818604,969.9381714,1577.5,1211.572388,115.9819717,1442.380737,25178.69336,58217.69141
11-02-2022,3191.776855,711.288269,786.3323975,1684.557129,8683.390625,17559.91016,2369.713623,521.171875,1181.988892,555.6430664,4511.291016,110.1840057,714.5946045,3368.69751,953.418396,1560.300049,1165.281006,118.0125122,1403.285645,24839.65625,57488.39063
14-02-2022,3123.370117,685.0050659,749.1554565,1647.361938,8307.020508,17410.62891,2331.777832,494.0942078,1117.13147,536.1043091,4475.688965,103.0972748,697.0222168,3289.765869,950.631897,1475.449951,1149.33728,112.8394852,1334.647827,23543.57422,57551.64844
15-02-2022,3240.822754,708.2019653,771.5212402,1701.441895,8566.609375,17920.4668,2410.092041,516.5933228,1137.526001,557.4237671,4653.052734,106.9804153,719.5228882,3365.213379,917.2938843,1555.900024,1181.323975,114.8216705,1333.318359,24823.39258,56438.64063
16-02-2022,3234.816162,718.2075195,760.7856445,1696.05835,8528.461914,17982.91211,2405.106934,508.4207458,1122.924805,558.21521,4569.53125,103.873909,719.8215332,3354.905273,928.041626,1587.5,1197.665161,117.3840103,1332.875244,24875.47461,57632.94141
17-02-2022,3241.964844,713.9763184,745.5769043,1688.815063,8490.163086,17825.40234,2437.559082,504.9252625,1121.464722,558.8087769,4549.237305,102.5633545,722.758606,3350.549561,923.3643799,1605.5,1198.757813,117.3356628,1289.693481,24654.32227,55418.44922
18-02-2022,3238.440186,709.5460205,745.079834,1670.951538,8499.352539,17800.2168,2416.871338,507.5346069,1121.794312,556.4839478,4460.131348,102.3206558,734.3075562,3369.568848,903.9586182,1568.650024,1194.13855,117.1422806,1302.10144,24297.92578,55321.71875
21-02-2022,3225.334717,706.6588135,749.8015137,1693.953857,8555.583008,17831.21484,2392.943359,503.9898682,1112.986572,564.5467529,4415.354004,100.7674026,723.9533081,3359.841553,901.5702515,1587.699951,1193.145142,115.1600952,1304.169434,24636.16406,55329.46094
22-02-2022,3205.080811,696.8026733,746.9188843,1697.428711,8569.789063,17832.05469,2381.029297,490.5494995,1072.432983,558.0667725,4565.692383,101.5925674,724.5009155,3378.086182,908.6856689,1555.75,1195.876953,113.2746048,1327.852905,24351.95508,55629.30078
23-02-2022,3216.399414,701.1334229,740.2587891,1706.433838,8644.249023,17692.23633,2366.672607,490.894104,1072.762695,561.331543,4595.560059,104.5534515,726.8405151,3394.685547,911.322876,1595.75,1193.69165,113.2746048,1326.228027,24482.75977,55921.44141
24-02-2022,3045.779785,667.7816772,703.0321655,1641.978271,8155.617188,17473.71289,2248.827637,465.3918457,1012.615173,531.1082153,4369.978516,97.61235046,677.3092651,3332.304932,890.4741821,1449.849976,1139.055908,106.3611298,1294.666382,23024.34375,54653.58984
25-02-2022,3097.705322,685.4033203,726.093811,1658.031006,8299.817383,17452.76758,2277.092285,475.4352112,1078.791504,549.3609009,4620.990723,103.7282867,682.7352905,3313.866699,917.1445923,1471.25,1160.065796,108.6817398,1327.360596,23933.14844,53172.51172
28-02-2022,3149.928467,683.2130737,738.0222168,1680.935547,8257.943359,17350.80078,2352.016846,475.8782959,1150.101807,549.9049683,4788.431641,103.4370575,687.5142212,3317.786621,920.5779419,1500.900024,1177.598755,110.9056473,1342.476685,24353.20117,52430.05859
02-03-2022,3007.108887,670.9177246,710.4377441,1667.036255,7762.706543,17584.45508,2391.19873,467.1149597,1213.78186,549.3609009,4848.966309,99.94223022,672.6298828,3280.861572,919.1348877,1503.75,1140.247803,108.5366974,1367.391235,23866.64844,53793.98828
03-03-2022,2850.885498,668.8270264,694.135498,1684.116699,7548.368652,17200.73242,2371.059326,460.1239929,1227.582275,563.5079346,4901.72168,99.65100098,659.7866211,3264.746338,929.9324951,1539.849976,1096.738037,110.8573074,1402.744019,22773.1582,56242.46875
04-03-2022,2719.334473,650.1102295,684.0957642,1687.053223,7196.934082,17140.4082,2318.368164,454.8561707,1203.325439,568.8997192,4736.873535,97.56381226,650.9257813,3263.10083,927.4943237,1466.25,1076.920044,109.5036163,1355.52478,22454.02734,55218.78125
07-03-2022,2689.102539,672.6101685,648.4595337,1702.714478,6724.695313,17093.98438,2233.224365,433.5878601,1216.843384,565.3876343,4650.858887,89.99169159,626.2348022,3052.778076,935.9532471,1374.699951,1065.14856,108.6333923,1329.674805,21947.26953,55614.39844
08-03-2022,2704.144043,679.8779297,660.984436,1740.790649,6760.658691,17051.79688,2229.984131,433.440155,1195.742188,580.8208008,4706.356934,94.21460724,636.5891113,3014.11084,963.6685791,1423.25,1068.376953,113.1779175,1350.30542,22487.25391,56663.87109
09-03-2022,2854.509766,688.3900757,663.1713257,1775.049438,6983.788086,16901.63086,2346.732666,444.9604797,1182.036011,579.0400391,4696.533691,95.91348267,654.2610474,3025.628662,976.5559692,1467.800049,1085.36377,113.0812149,1403.088745,21906.8125,56555.32813
10-03-2022,2890.351074,694.4630737,672.5151978,1786.159302,7159.083496,17381.25586,2386.064209,461.4040527,1232.527832,581.4638672,4757.018066,98.9229126,675.5171509,3126.240967,982.0294189,1483.849976,1120.529297,116.9488907,1370.985474,22154.60352,57620.28125
11-03-2022,2911.647217,691.7252197,674.0062866,1783.712158,7060.135254,17074.56641,2391.29834,463.1763916,1225.980713,579.9304199,4839.741211,101.3498688,676.114502,3096.817139,1039.350952,1493.300049,1085.959717,119.5595779,1362.762695,22347.56836,58030.41016
14-03-2022,2941.283691,697.4497681,691.9486084,1850.761719,7266.625,17127.93945,2411.28833,477.6998901,1221.883057,591.5548096,4907.904785,103.7768326,674.7704468,3085.686279,1043.331665,1485.900024,1088.49292,116.7555161,1335.090942,22299.67578,57297.57031
15-03-2022,2965.111572,700.2373657,693.1911621,1800.205322,7368.702148,17225.22656,2356.353516,478.4383545,1162.112549,581.3649292,4799.601563,102.8060455,691.4468384,3118.643066,1064.578369,1470.449951,1075.678345,115.0150528,1312.933838,22738.9375,58198.64063
16-03-2022,3019.817139,709.4464111,703.8273315,1848.657227,7435.363281,17548.87109,2396.03418,484.9862366,1191.832886,591.5053101,4929.09668,104.5534515,702.3984985,3206.043457,1050.695923,1526.75,1128.227905,117.8674698,1311.752075,23531.25195,57190.05078
17-03-2022,3112.54834,719.6013184,715.6564331,1815.132446,7641.306152,18007.60156,2472.20459,494.0449829,1227.77063,594.8688965,4825.929199,104.7961502,715.1422119,3246.549805,1043.331665,1597.199951,1140.496216,117.3840103,1317.759155,24026.08789,57801.71875
21-03-2022,3023.9375,706.2108154,706.3621216,1813.370483,7653.078613,17603.625,2459.742188,483.0661926,1226.734497,593.7312622,4757.666504,103.5341339,690.6503906,3133.015869,1044.874023,1607.849976,1129.022705,114.0964813,1333.564453,23350.21094,57472.71875
22-03-2022,3029.844971,716.0670166,714.463562,1847.335815,7712.735352,17166.08594,2523.500488,486.3155212,1226.922852,603.3770142,4661.379883,103.6797562,694.3839111,3056.068848,1027.359131,1578.75,1118.145264,116.6104736,1348.139038,23312.59375,57814.76172
23-03-2022,2994.549316,701.9298706,713.9168701,1832.212891,7593.769043,17100.48828,2532.074463,483.1154175,1253.346313,604.5640869,4592.418945,103.1458206,680.0969238,3000.753906,1009.993591,1558.75,1133.045898,117.4323502,1316.823608,23393.41211,58362.85156
24-03-2022,3001.84668,703.1245728,700.0997314,1846.895142,7505.004395,17143.61133,2570.159668,479.5214844,1271.903809,604.3167725,4617.699707,103.0001984,681.0427856,3003.366943,1024.124878,1569.150024,1139.304199,116.3687439,1330.41333,23219.70508,58779.71094
25-03-2022,3024.582764,706.1112671,694.9804688,1836.666504,7370.888184,16930.95313,2588.90332,482.8200378,1261.211914,597.1937866,4669.059082,105.4271622,685.6723633,2995.38208,1008.45105,1621.599976,1141.092163,114.6766357,1283.932617,23210.22461,58530.73047
28-03-2022,3005.123291,730.1046143,706.0142822,1833.779053,7427.961914,16621.79688,2613.77832,489.7617798,1261.353394,593.6817627,4639.439941,108.727829,677.5581665,2995.38208,1013.42688,1628.099976,1121.721313,115.9819717,1271.475342,23135.94336,59764.12891
29-03-2022,3021.753418,751.2108154,710.984436,1845.965454,7389.216797,16680.34766,2614.276855,487.3493958,1257.020142,596.1549683,4601.992676,108.2424393,683.2828979,3005.254395,1033.778076,1635.800049,1145.661743,114.3382111,1274.626587,23588.07422,60786.07031
30-03-2022,3058.091064,746.0836182,725.696167,1877.091919,7550.604004,17047.70703,2664.974365,486.6109314,1232.10376,594.2258911,4593.865234,110.7664719,690.2023315,3047.357666,1027.060669,1665.150024,1142.979614,113.3229446,1294.617188,23999.04883,59815.71094
31-03-2022,3059.679443,752.0570679,725.8949585,1866.814331,7510.418457,17127.79102,2626.041504,485.8231812,1231.256104,585.668457,4503.911621,108.3395157,696.7235107,3101.414307,1013.576172,1672.099976,1146.307373,115.0150528,1309.240967,23939.18359,59402.60938
01-04-2022,3091.5,755.2428589,732.1077271,1862.067017,7641.504883,17293.53125,2646.47998,500.3959351,1239.828491,595.017334,4490.74707,112.5624237,708.4716187,3126.289307,1010.043335,1692.050049,1164.28772,118.0125122,1334.647827,24543.77344,59256.96875
04-04-2022,3095.322266,764.2528687,741.9983521,1842.588379,7724.458496,17527.38086,2655.054199,504.6791077,1261.777222,599.0240479,4549.585938,112.6595078,719.3735352,3165.585693,1022.831238,1681.800049,1172.184937,118.2058945,1341.934937,24680.91406,59333.17969
05-04-2022,3117.115479,762.8590088,737.7240601,1821.690552,7709.705566,17756.35352,2617.51709,501.4790344,1266.911255,597.9267578,4542.804688,112.6595078,720.6677856,3195.590332,1016.36261,1672.5,1250.165039,118.6410065,1344.790771,25080.86133,58743.5
06-04-2022,3132.454834,771.7694092,736.3323364,1789.731812,7693.859863,17946.68555,2611.485352,506.1560669,1291.497681,592.0910645,4499.523438,116.2999496,723.8039551,3178.652344,1023.428284,1681.349976,1243.360474,121.8318405,1344.446167,24683.4082,58910.73828
07-04-2022,3132.702881,759.2251587,744.5828247,1773.140869,7587.361816,17979.2832,2564.02832,507.1899414,1271.150391,579.472229,4524.903809,115.7174759,720.767395,3187.750244,1031.887207,1664.949951,1241.62207,119.4145432,1338.488281,24703.56055,57338.57813
08-04-2022,3183.734863,758.7772217,749.8511963,1776.664551,7508.233398,18232.07227,2608.893066,508.1745911,1291.591919,582.3650513,4592.668457,116.8338776,732.0674438,3240.645508,1006.759277,1665.300049,1259.999512,122.750412,1353.505981,25192.0625,57381.76953
11-04-2022,3134.688477,754.5460205,755.1693726,1729.240601,7515.087891,18223.76172,2601.964111,507.0422974,1279.251587,569.7960205,4649.263184,116.8338776,728.5330811,3240.936035,1018.601746,1688.199951,1266.009399,124.5392151,1351.044067,25115.03516,56741.42969
