Date,ADANIPORTS.NS,BPCL.NS,COALINDIA.NS,HCLTECH.NS,HEROMOTOCO.NS,HINDUNILVR.NS,NTPC.NS,ONGC.NS,SUNPHARMA.NS,TECHM.NS,BIOCON.NS,DABUR.NS,DLF.NS,GAIL.NS,HAVELLS.NS,IDBI.NS,MARICO.NS,NAUKRI.NS,PEL.NS,VEDL.NS,Open
18-02-2022,722.494873,366.698761,146.7780914,1111.84375,2646.421875,2256.878418,126.5523224,154.5554962,853.666687,1393.103149,392.0670166,542.7265015,356.842041,90.17754364,1193.344727,47.29999924,504.75,4411.39209,2120.380127,272.0484924,17236.05078
21-02-2022,706.2076416,362.3748474,145.7832794,1111.60498,2645.739258,2239.555664,126.1698303,151.997406,834.8204956,1373.969238,386.8753967,548.4728394,343.7947388,87.26446533,1193.195679,46.04999924,507.25,4426.336914,2056.105469,264.5372925,17192.25
22-02-2022,700.6958618,349.1573486,144.607605,1097.098633,2662.949219,2215.303711,126.3132706,153.4392395,836.7496338,1368.495483,383.680542,544.9556885,321.8176575,86.14404297,1195.480347,44.15000153,505.3500061,4444.42041,2005.999756,261.6598816,16847.94922
23-02-2022,701.8379517,350.9262695,143.341507,1100.391235,2604.103027,2205.983643,124.4964981,149.5323486,831.2590332,1369.222168,394.8125916,538.218689,341.5126953,88.51292419,1193.294922,45.09999847,501,4395.600098,2059.047119,263.2293701,17194.5
24-02-2022,650.3446655,327.2920227,135.6544342,1048.425659,2428.344727,2119.126221,118.9505768,145.7184448,809.4944458,1291.426392,373.5469055,528.7571411,317.9977112,83.07089996,1139.801636,41.15000153,483.4500122,4264.632813,1910.837769,252.6538239,16548.90039
25-02-2022,690.3674316,330.5350037,147.8181,1078.154419,2494.650146,2118.442871,124.6399384,148.3695679,822.6520996,1346.358032,393.914032,539.803833,346.0767517,86.30410767,1160.662598,43.70000076,494.8500061,4434.307617,2022.227783,271.0021973,16515.65039
28-02-2022,702.6324463,343.7524414,153.3347321,1075.529785,2472.272217,2119.809814,127.651947,149.4393158,834.8699951,1366.024902,348.2876892,558.1325073,348.0115356,92.73849487,1177.848022,44,514.7000122,4437.944336,2029.973999,284.230896,16481.59961
02-03-2022,705.413147,336.1855774,167.1262512,1064.650024,2365.842041,2097.363525,125.2136459,151.5788116,812.1160889,1350.863037,344.2941589,560.0148926,344.1419983,97.66832733,1141.241943,43.09999847,512.5499878,4551.774902,2040.36792,289.4625854,16593.09961
03-03-2022,701.8379517,340.4112244,170.879364,1087.69812,2357.163574,2040.661865,126.3132706,158.4159088,812.1160889,1382.155762,339.5018616,557.6867676,336.4028625,101.7978668,1097.036743,43.29999924,511.0499878,4572.448242,2018.893799,295.9275208,16723.19922
04-03-2022,695.3330688,342.3275452,163.6896667,1086.505005,2253.70752,1970.883179,124.4964981,153.7183075,820.7724609,1408.265137,327.67099,534.0575562,325.0422974,99.52502441,1076.821411,42.09999847,501.0499878,4323.914551,2007.813721,279.0739441,16339.4502
07-03-2022,673.1367798,332.1564636,170.6532745,1101.536377,2143.913086,1897.151855,124.3530731,173.9040222,813.8473511,1379.685181,329.4680786,501.2641602,311.1515808,103.4944916,1064.950684,40.90000153,481.8500061,4272.155273,1849.896851,289.5373535,15867.9502
08-03-2022,684.1107178,335.6942444,171.0602264,1121.673706,2195.543457,1902.080444,127.8909836,166.6018219,845.8511963,1416.354736,333.9109192,516.7196655,327.0266724,100.7734833,1068.22876,41.90000153,490.6499939,4369.995117,1905.199585,285.0156555,15747.75
09-03-2022,709.1870117,336.7260742,168.7993164,1128.736084,2233.425781,1949.803223,125.739563,163.1600037,858.9594727,1457.819824,337.2554932,523.2089844,336.5517273,98.91679382,1085.414185,42.90000153,492.6000061,4546.942871,1976.093018,287.259613,16078
10-03-2022,725.374939,342.9662781,161.8357239,1137.754761,2262.921875,2051.348389,127.12603,162.1832886,860.2455444,1439.024902,332.6629333,540.6460571,351.881073,94.43512726,1120.232056,43,500.7999878,4599.399414,1954.864258,292.6759338,16757.09961
11-03-2022,724.4314575,355.7415466,164.3679504,1138.995605,2273.111572,2043.97998,126.1698303,163.4390717,892.3482666,1440.42981,331.4149475,542.4788818,350.9881287,97.57229614,1085.364502,42.95000076,507.5499878,4598.054199,1987.22229,292.6372681,16528.80078
14-03-2022,725.5238647,353.4321594,163.1018372,1147.966675,2283.544922,2009.725098,126.3610764,159.8112335,882.7026367,1456.12439,328.1701965,535.5932007,340.7189331,97.5402832,1088.44397,43,507.1000061,4510.078613,1996.488403,290.7801819,16633.69922
15-03-2022,716.3375244,344.2438049,156.3643341,1123.152832,2260.630371,1989.132935,125.3092728,152.3229828,882.1090698,1413.109253,326.9222107,551.4946289,338.4864807,95.04335785,1074.884399,42.75,511.4500122,4425.987793,2030.95459,276.775116,16900.65039
16-03-2022,718.8203125,350.1400757,159.981781,1144.769409,2310.457275,2022.265503,126.9347992,155.6252594,879.6852417,1443.433105,328.6693726,559.4700317,352.7244568,97.57229614,1128.824829,43.34999847,525.4500122,4458.070313,2119.350586,288.8845215,16876.65039
17-03-2022,735.0081177,357.9035034,159.6652679,1142.288208,2359.601074,2051.445801,127.0782242,158.4159088,901.84552,1446.920776,330.915741,555.0612793,360.2154846,96.86803436,1139.50354,42.84999847,524.0999756,4561.837891,2241.575684,292.8306885,17202.90039
21-03-2022,730.0922241,351.0245361,164.8653564,1114.754517,2331.957764,2001.820068,127.0782242,160.5088959,904.0219727,1433.648071,329.2684021,544.4603271,351.1369324,95.54379272,1129.619507,44.75,504.3500061,4626.050781,2191.126709,309.5439758,17329.5
22-03-2022,734.0646973,362.0308838,165.8149261,1122.723511,2363.257813,1945.509155,127.0304184,163.2065125,904.3187866,1490.226685,334.1605225,529.0543823,355.8498535,94.98098755,1117.500244,45.29999924,492.1000061,4742.970215,2159.307861,312.6390076,17120.40039
23-03-2022,728.7018433,360.2620239,165.5436249,1126.827271,2334.980469,1930.919067,127.604126,163.3460541,891.1610718,1494.053589,336.6564941,518.0075684,354.163147,95.08030701,1133.791626,44.79999924,484.6000061,4609.262695,2181.076172,316.1983337,17405.05078
24-03-2022,728.4039307,356.3311768,169.4776001,1137.707153,2352.044434,1918.573608,129.4687042,165.0669556,899.125,1519.630249,341.74823,518.899292,353.8158875,97.39772797,1138.559937,45.20000076,482.3999939,4513.316895,2202.991211,318.1327515,17094.94922
25-03-2022,738.1364746,354.0709229,168.3019257,1125.53894,2319.135498,1905.984131,128.8471832,163.5321045,892.694519,1482.815308,348.337616,514.9858398,362.2495117,97.76189423,1140.944092,45.09999847,478.1000061,4478.793457,2159.602051,317.668457,17289
28-03-2022,731.9295044,353.4813232,172.9593964,1110.841553,2318.696777,1927.552002,128.894989,164.0437317,896.206604,1476.905396,345.1427917,510.3789368,360.9596558,100.7083206,1122.56665,44.25,474.7000122,4376.471191,2152.346191,319.8736877,17181.84961
29-03-2022,756.7078247,352.2529297,168.2114868,1114.420288,2155.565186,1939.214478,128.4647064,159.0670624,909.5126343,1474.870972,342.8964233,511.0229187,370.0382385,101.0724869,1145.960571,42.75,482.5,4477.199707,2143.91333,317.5137329,17297.19922
30-03-2022,762.1203613,353.8252258,165.407959,1112.034424,2215.04541,1967.369873,129.3730927,150.6951141,910.7492676,1449.633423,340.9994507,522.8127441,379.8609314,101.6021881,1143.278442,43,490,4602.388672,2189.606934,308.4993896,17468.15039
31-03-2022,768.8735962,353.1373596,165.5436249,1110.650635,2236.984619,1999.331421,129.0862427,152.4625092,904.961853,1452.685059,335.0590515,531.2339478,377.4796753,103.0588379,1144.91748,42.79999924,503.7000122,4492.89209,2144.354492,312.0973816,17519.19922
01-04-2022,780.3441162,367.9271545,168.3471375,1116.281616,2184.330322,2028.121094,136.687973,156.2298889,898.9766235,1440.720337,341.348877,537.4260864,382.9367371,107.2964096,1165.331421,44.15000153,518.25,4581.86377,2187.351563,313.9930725,17436.90039
04-04-2022,812.918396,373.6268921,169.7941284,1132.887573,2254.14624,2077.210205,137.9788513,156.3229218,916.1409912,1451.910156,345.891571,539.6057739,384.2761841,107.0646667,1172.483765,44.95000076,530.0999756,4667.946289,2216.71875,326.1025085,17809.09961
