Date,BIOCON.NS,DABUR.NS,DLF.NS,GAIL.NS,HAVELLS.NS,IDBI.NS,MARICO.NS,NAUKRI.NS,PEL.NS,VEDL.NS
18-06-2018,308.5575256,362.1756592,191.7584839,92.97135162,524.4473267,59.29999924,314.6748047,1181.919556,2302.34082,121.193634
19-06-2018,302.8126526,356.036377,187.9146729,94.25003052,516.7821045,58.75,311.2771606,1171.436157,2300.307617,117.070343
20-06-2018,310.2486877,355.9894104,192.8636017,94.31877136,512.5183105,58.95000076,312.2080078,1180.984497,2302.34082,119.3668518
21-06-2018,308.5575256,361.4257813,191.0858307,93.30133057,510.5539551,57.75,312.0684509,1171.386841,2291.769043,119.54953
22-06-2018,313.1832886,361.0040894,192.8636017,93.49382782,519.9439697,58.90000153,310.4859619,1180.640015,2348.331787,119.2885818
25-06-2018,315.5956421,360.3479309,188.8756256,93.82379913,512.9016724,58,308.2984314,1152.241211,2279.661621,120.3846283
26-06-2018,316.8391113,362.2694092,188.0107574,93.97502899,510.5539551,54.45000076,317.2346191,1191.763184,2295.564209,120.8021851
27-06-2018,317.5354614,368.8305054,184.3591461,90.41402435,514.9615479,50.70000076,312.4872742,1163.315063,2309.794922,120.09758
28-06-2018,306.6923218,363.1598206,177.9207611,87.87043762,501.0204163,49.84999847,309.6017151,1129.94519,2305.32251,120.0453949
29-06-2018,308.1596069,366.9090271,181.4282532,93.56256104,520.614624,54.90000153,308.7173767,1167.793945,2291.678955,123.2813873
02-07-2018,306.3690186,359.6450195,177.007843,93.79629517,510.4582214,56,310.4394531,1176.013062,2214.651123,125.1864319
03-07-2018,312.6361389,360.6291199,178.5453796,94.95122528,520.7584229,52.45000076,317.2346191,1151.453613,2225.222656,120.5934372
04-07-2018,312.4869385,360.6291199,178.0648956,95.78991699,528.3840332,51.75,320.073761,1145.449341,2226.623291,119.0276108
05-07-2018,312.1387329,362.6018372,174.1249847,95.15745544,530.6690063,48.09999847,321.7958374,1211.007568,2216.096924,115.5045395
06-07-2018,313.9045105,356.0581055,179.3621826,94.64874268,535.7739868,48.25,323.1455688,1197.866211,2237.510986,114.3562851
09-07-2018,317.23703,361.0140076,179.9868164,95.52868652,538.1077271,48.79999924,323.5178528,1230.891602,2220.0271,118.270813
10-07-2018,315.0733948,362.0726013,186.7615662,100.0796356,558.0898438,53.34999847,326.0777283,1282.127441,2228.43042,117.9837494
11-07-2018,311.0942688,364.4302673,184.5513306,98.25099945,551.1373901,57,319.32901,1308.458984,2240.357422,113.8343506
12-07-2018,304.1556091,363.8528748,182.0528717,98.05852509,545.9838257,56.15000153,326.636261,1293.250732,2255.356201,110.3373566
13-07-2018,298.0625305,361.9282532,180.3711853,98.12726593,544.7198486,57.29999924,330.3596497,1267.952637,2276.453857,109.8415298
16-07-2018,289.7561035,353.4598389,171.0979919,97.83853149,544.5738525,56.45000076,327.4274597,1228.285889,2279.209961,107.727684
17-07-2018,294.2575073,363.6123047,172.9237823,98.6359787,539.6634521,58.15000153,323.8902283,1250.733276,2287.251465,109.658844
18-07-2018,290.8752136,360.1479492,164.0349579,98.73222351,545.7407227,56.65000153,325.1468506,1331.247437,2313.454346,106.3184586
19-07-2018,285.0457458,361.1583862,163.2181549,98.3884964,546.2269287,56.84999847,322.0751038,1280.876953,2304.101807,108.6671753
20-07-2018,287.0636597,358.9450378,163.7466736,98.9384613,544.9143066,58,327.0551147,1250.141235,2306.324463,105.6399307
23-07-2018,283.2520752,359.8111267,170.7136078,98.66348267,593.1921387,57.59999847,327.7067566,1322.663208,2352.230469,110.4417419
24-07-2018,286.1917419,359.6186829,181.7165222,100.588356,582.0585938,59.5,329.1030273,1335.786499,2508.615723,112.8687668
25-07-2018,275.678772,357.5978394,176.3351746,100.2721176,586.1425781,58.90000153,333.2917786,1454.041626,2488.934814,114.2779922
26-07-2018,278.1450806,359.2337341,182.7735748,101.7432785,597.7623901,58.79999924,339.2958374,1376.586182,2474.370361,112.9992523
27-07-2018,292.0710144,371.4552307,183.0618439,104.0806198,607.777771,60.09999847,336.1775208,1378.806274,2446.116699,114.6955566
30-07-2018,290.3520508,378.6244812,181.5243225,103.874382,608.507019,59.79999924,338.6441956,1331.889038,2459.98999,117.3834839
31-07-2018,292.1706848,405.6656189,188.6354065,103.1594315,616.8694458,58.84999847,338.9235229,1348.711792,2470.268311,115.9742584
01-08-2018,290.6510315,415.9624634,185.8005981,103.2144318,614.7301025,62.15000153,343.0192566,1355.224243,2586.877686,113.8865433
02-08-2018,291.1990967,412.738678,180.4192352,103.8468933,619.446106,62.25,327.1016846,1344.71582,2627.944092,111.7726822
03-08-2018,290.4268188,420.4372559,181.5243225,106.7479401,625.6693115,61.84999847,328.1256104,1346.936035,2575.861572,116.0786819
06-08-2018,285.768219,419.571106,181.9567871,103.4894104,639.5255127,63.20000076,337.8530273,1379.644653,2584.572998,117.0964508
07-08-2018,286.0671692,426.4998779,179.5063477,103.0356827,658.8270264,61.90000153,336.6894226,1439.586426,2678.874023,118.3751984
08-08-2018,282.1559448,428.3764343,181.572403,103.6681442,662.6192627,62.25,336.6429138,1462.527222,2651.358398,117.3313293
09-08-2018,284.1488953,429.0980835,192.7675018,103.2694168,668.3075562,63.09999847,338.5976868,1449.996094,2647.716797,120.358551
10-08-2018,281.4584351,425.9224854,188.8756256,99.80464935,654.8889771,61.84999847,339.761261,1466.621826,2589.873291,116.7571716
13-08-2018,284.8464966,424.5752563,186.5693359,103.2419281,657.7088013,60.45000076,334.6881104,1451.328003,2560.513428,112.8948593
14-08-2018,293.6654053,435.930603,194.8816071,104.4380951,666.9462891,60.34999847,339.1562195,1456.162964,2612.181396,112.2685394
16-08-2018,297.7759399,428.1358032,198.6293182,108.2878418,662.6192627,61.40000153,338.1788025,1408.604126,2499.443604,108.9803391
17-08-2018,294.6120605,439.0100098,201.9446106,106.610466,660.1883545,62.29999924,345.4859619,1467.115356,2491.838623,112.3207321
20-08-2018,300.9895935,436.2193298,206.4611359,104.2318573,671.0788574,62.5,339.0631409,1461.195068,2555.074951,115.7916031
21-08-2018,305.0751953,441.5120544,200.070755,103.9706345,680.3648682,63.40000153,337.2945251,1495.18689,2622.366943,114.2257919
23-08-2018,305.3492126,465.7143555,203.626297,105.6480103,687.7062378,62.09999847,355.4926758,1585.271729,2595.127441,112.1119537
24-08-2018,302.2850342,457.1978455,204.6352844,104.6718445,680.3648682,61.45000076,352.5139771,1548.961304,2655.321777,116.9398499
27-08-2018,303.0822144,463.7897644,205.3079529,105.4142761,700.0553589,61.29999924,350.9315491,1574.615479,2821.52417,117.6966782
28-08-2018,306.5201111,467.4465332,205.0196838,100.1621323,696.6520386,60.84999847,345.8117981,1525.82373,2861.070068,120.2019653
29-08-2018,305.2496033,459.796051,209.0076294,101.0420609,694.2697144,60.95000076,343.2054749,1555.029541,2875.634277,119.0276108
30-08-2018,301.562561,461.8169861,212.4670868,103.8551559,699.4719238,60.95000076,344.6016846,1543.386597,2877.385986,120.0453949
31-08-2018,310.9046631,460.7103271,212.1788025,102.7509079,705.2088013,62.70000076,343.9035645,1616.204712,2949.563721,118.8449173
03-09-2018,306.3457031,448.7775574,204.1548157,101.6742554,696.6034546,61.15000153,336.0378418,1638.898438,2838.070801,119.2363739
04-09-2018,296.1317139,431.6964722,193.9687042,99.23108673,650.3187866,59.75,329.9873657,1646.447021,2776.586182,117.3313293
05-09-2018,310.9295959,439.6836243,194.449173,99.93504333,642.1508789,59.29999924,327.7067566,1621.92749,2726.070557,119.7583313
06-09-2018,330.3112793,436.9891663,196.5152283,100.928894,660.2369385,59.15000153,331.6628113,1615.168701,2783.914551,119.993187
07-09-2018,329.5140991,450.6540222,200.2149048,104.1312103,654.9375,59.84999847,332.7333679,1604.759033,2806.130127,120.1758575
10-09-2018,318.0793762,432.9474182,196.6113434,104.2692566,623.6272583,57.84999847,320.6322327,1587.097168,2786.264893,116.6527939
11-09-2018,317.3818359,427.0291748,191.1338959,102.7370987,615.1191406,57.40000153,313.6508484,1601.50293,2693.807373,114.6433563
12-09-2018,318.8018188,437.0853577,195.3309021,102.1711655,628.8295288,57.70000076,320.5391235,1576.095459,2697.678955,116.7050095
