Date,ADANIPORTS.NS,BPCL.NS,COALINDIA.NS,HCLTECH.NS,HEROMOTOCO.NS,HINDUNILVR.NS,NTPC.NS,ONGC.NS,SUNPHARMA.NS,TECHM.NS
07-09-2020,337.7772217,362.6809082,91.98651886,658.5443726,2768.267822,2065.978516,74.73892212,62.98490906,490.6318054,701.4581299
14-09-2020,352.9155884,348.5543213,90.9203186,739.7158813,2879.655029,2008.044312,75.11222076,63.84417725,507.9065247,737.670105
21-09-2020,321.65271,317.8480835,86.10408783,757.4197998,2777.287598,1989.243164,72.45001984,59.20409393,475.2009888,708.0587769
28-09-2020,348.4283142,298.8575439,86.21437836,743.9220581,2915.550781,2004.50415,72.53544617,59.41890717,491.9419556,754.0342407
05-10-2020,352.2745667,291.8365479,84.48641205,783.0880127,3078.330322,2047.225342,70.82672119,60.40707779,497.7649536,783.0497437
12-10-2020,345.1245422,287.5647888,81.87608337,756.9164429,3095.954346,2057.654785,68.60538483,57.78628922,472.532135,754.2634888
19-10-2020,359.3259583,297.3772278,86.54525757,780.0682373,2878.175049,2051.243896,73.68883514,59.29002762,470.2029419,777.6408081
26-10-2020,354.8880005,299.8303833,83.97169495,774.0141602,2590.223389,1981.827881,74.84222412,55.76699066,452.0062561,745.6000366
02-11-2020,365.9829102,306.5975647,89.56000519,781.5064697,2724.970459,2016.661377,74.58592224,58.43074417,494.1255493,795.128418
09-11-2020,361.0518188,349.2310486,93.45711517,763.4880371,2882.476807,2106.75,77.66162872,62.42637253,498.8324585,784.852478
16-11-2020,370.6673889,324.2346497,89.30264282,753.145752,2774.188721,2041.795898,78.43055725,61.56709671,488.3997192,782.4235229
23-11-2020,405.8750916,315.5218506,98.05139923,755.7657471,2876.139893,2059.081299,80.90820313,67.45314026,496.5518188,819.1368408
30-11-2020,447.4439087,331.8477783,104.1039505,789.2286987,2942.380371,2103.379395,84.19750214,77.20590973,552.2579956,862.3427124
07-12-2020,459.8701477,336.1618958,107.96978,792.6762695,2946.866699,2286.878662,87.48680878,83.17787933,551.3359985,858.8862305
14-12-2020,456.9115295,333.158905,110.6641464,818.784668,2900.610107,2247.106934,88.64019775,85.06829071,558.0323486,872.3384399
21-12-2020,471.9512329,319.3707275,106.4078369,845.1688232,2843.065674,2313.36084,85.39361572,80.04151917,573.0265503,884.9031982
28-12-2020,496.9024048,323.0926819,105.7049484,873.805481,2870.403564,2299.205078,84.62469482,80.08448792,578.6553345,913.5826416
04-01-2021,509.8710938,338.4881287,109.1021805,914.3930054,2924.47876,2302.719727,85.56448364,86.48609924,602.480835,981.9179077
11-01-2021,520.6700439,350.7113953,111.8746567,909.9342651,2963.242188,2264.151855,85.82080078,87.13054657,586.4678345,941.0007935
18-01-2021,528.4118042,335.0198975,104.0258484,906.2570801,3122.274658,2320.198242,80.35287476,79.69781494,558.2265625,916.291687
25-01-2021,502.6717224,324.4884033,98.32474518,843.6275635,3012.321045,2180.130371,75.99562073,75.87404633,568.9019165,898.1218262
01-02-2021,559.1323242,351.0497742,110.0003204,873.3022461,3172.510254,2185.571289,85.00915527,83.90826416,616.0192261,896.253479
08-02-2021,608.0976563,353.6720886,104.5335083,886.4550781,3252.581543,2158.607178,81.97615814,83.34973907,608.6435547,925.9604492
15-02-2021,644.4888306,363.7383118,108.7507553,876.9942017,3135.966797,2100.394287,91.78226471,90.30986023,594.5315552,928.52948
22-02-2021,666.5800171,395.6768188,118.8643723,839.4279785,2986.918213,2053.158936,94.51284027,97.01600647,582.0986328,858.3724365
01-03-2021,738.6226807,406.1877747,118.0053101,869.0102539,3207.138184,2119.654297,95.74599457,100.4683762,598.3496704,896.5337524
08-03-2021,718.1094971,402.4495544,117.5367126,903.8537598,3104.161865,2123.168945,96.09832764,100.5557785,600.6991577,937.2174072
15-03-2021,676.7872925,380.8120117,106.4468765,886.5012207,2889.778564,2226.499023,95.56982422,96.57899475,566.1412964,924.3256226
22-03-2021,693.3555908,373.1157227,104.6925125,884.7475586,2721.764404,2232.13208,91.78226471,89.49945068,574.854248,925.7736206
29-03-2021,726.0978394,389.2528381,106.7524261,925.4058838,2738.718994,2310.327637,95.04132843,91.20378876,597.9091187,926.8479004
05-04-2021,812.2432861,378.7517395,104.6117249,964.9105225,2698.695313,2384.38208,90.54910278,90.7230835,623.3624878,983.6929321
12-04-2021,745.0823975,368.2506714,103.2788315,934.7744141,2681.9729,2367.915039,90.24081421,93.78215027,632.4669189,943.8032837
19-04-2021,715.3480835,376.4824524,101.9055481,882.0707397,2653.437744,2222.35791,90.32891083,89.49945068,624.5372314,887.6590576
26-04-2021,719.9832764,375.3699951,107.4794617,829.7363281,2611.839355,2266.655518,90.24081421,94.52507019,640.6902466,897.1876831
03-05-2021,757.1634521,394.3699036,110.5491486,855.0991211,2650.426514,2321.97998,92.53096771,97.40932465,665.1646729,916.3851318
10-05-2021,723.4349976,393.5690002,118.5868835,849.4537964,2605.539551,2288.900879,98.1242218,98.72034454,676.9123535,889.5274658
17-05-2021,758.5934448,410.29953,118.9100037,868.3959351,2672.29126,2274.841064,99.40142059,98.54553986,675.8845215,915.9646606
24-05-2021,765.4476318,419.5993042,118.6676559,879.4998169,2771.561523,2235.791748,95.96620178,98.19593048,655.6686401,958.7034912
31-05-2021,822.3519897,425.6062622,123.6761246,873.9011841,2824.231201,2255.388428,98.43251801,109.6455612,659.7803345,952.1175537
07-06-2021,828.1705933,430.3673706,131.3907166,917.5705566,2783.420654,2278.933838,104.6423492,107.9849396,666.975769,1002.376587
14-06-2021,684.7755737,420.3557129,118.2637482,910.0124512,2678.730225,2391.026611,100.0180054,105.1006851,654.4448853,1000.227722
21-06-2021,702.3794556,418.3088989,120.1621094,929.0478516,2723.061279,2375.105713,102.2200851,105.6687851,658.1160889,1017.790527
28-06-2021,705.5125122,411.8124695,119.2735138,918.7836914,2705.134277,2412.595215,103.4972687,103.5274429,666.9268188,1017.69696
05-07-2021,723.4879761,406.6063843,118.5060959,911.5053711,2683.779297,2377.821777,103.761528,103.0467377,653.8575439,982.5250854
